site,cosine
11S_SEED_STORAGE,0.0
11S_SEED_STORAGE,inf
11S_SEED_STORAGE,0.9945695909993725
11S_SEED_STORAGE,0.9981852410949866
11S_SEED_STORAGE,0.0
11S_SEED_STORAGE,
11S_SEED_STORAGE,0.9947322423812948
11S_SEED_STORAGE,0.9957822698578409
11S_SEED_STORAGE,0.0
11S_SEED_STORAGE,-0.028025117123266607
11S_SEED_STORAGE,0.9945813813209523
11S_SEED_STORAGE,0.9955170485118052
1433_1,0.9994599795860523
1433_1,0.9998634741815403
1433_1,0.9997058912202996
1433_1,0.9994914840796039
1433_1,0.9996843204227281
1433_1,0.9978326903752918
1433_1,0.9998302889544194
1433_1,0.9987378889784668
1433_1,0.999542639867627
1433_1,0.9994684601790886
1433_1,0.9995947167173351
1433_1,0.9997755494164197
1433_1,0.999776229304693
1433_1,0.9995887618610503
1433_1,0.9998047724717004
1433_1,0.9990723469682921
1433_1,0.9997860089586843
1433_1,0.9997667628427445
1433_1,0.9994526139502932
1433_1,0.9997198907183609
1433_1,0.9996018027200112
1433_1,0.9997965709324012
1433_1,0.9997836674256271
1433_1,0.9996995993815397
1433_1,0.9997800252996805
1433_1,0.9992283692794498
1433_1,0.9998690263674488
1433_1,0.999807296034243
1433_1,0.9995503059895472
1433_1,0.9995771196887778
1433_1,0.9966595951996414
1433_1,0.9996637808904406
1433_1,0.9998614863644066
1433_1,0.9994386228659686
1433_1,0.9996559314050089
1433_1,0.9978148013178683
1433_1,0.9998851046950348
1433_1,0.998817629135604
1433_1,0.9996796791016258
1433_1,0.9996421027439051
1433_1,0.9994858823414142
1433_1,0.9996644757936497
1433_1,0.9998494889858599
1433_1,0.9991525430207887
1433_1,0.9996237452220319
1433_1,0.9989445433349312
1433_1,0.9998133412569526
1433_1,0.9996008049710092
1433_1,0.9997227685900864
1433_1,0.9998381618171728
1433_1,0.99946601214198
1433_1,0.9996760851876733
1433_1,0.9996875423854947
1433_1,0.9994721097025919
1433_1,0.9997242434207576
1433_1,0.9992945856356283
1433_1,0.999866676141952
1433_1,0.9997588380871486
1433_1,0.9998225884736817
1433_1,0.9998066875217038
1433_1,0.9963464218503143
1433_1,0.9996985580476099
1433_1,0.9996453960987525
1433_1,0.99980880187736
1433_1,0.9998458243958148
1433_1,0.997902929621709
1433_1,0.9996336461490731
1433_1,0.9988911590436205
1433_1,0.9989622948296526
1433_1,0.9995051244853265
1433_1,0.9971164569227626
1433_1,0.999717842593227
1433_1,0.9984770843845341
1433_1,0.9995858806602324
1433_1,0.9996453106739309
1433_1,0.9975893712759956
1433_1,0.9997121666603612
1433_1,0.9986834210251908
1433_1,0.9995799097294434
1433_1,0.9996288275733635
1433_1,0.99832062690727
1433_1,0.9998245043905998
1433_1,0.998879263808469
1433_1,0.9998897905547552
1433_1,0.9996465924053372
1433_1,0.9993025381934677
1433_1,0.9996320790723455
1433_1,0.9988292898874696
1433_1,0.9998152396641685
1433_1,0.9997064989475313
1433_1,0.998891049526059
1433_1,0.9994796876615591
1433_1,0.9996613993188349
1433_1,0.9991684631720829
1433_1,0.9996207613287432
1433_1,0.9993964800551745
1433_1,0.9997308857912615
1433_1,0.9998012045017358
1433_1,0.9992302844722913
1433_1,0.9997563622621628
1433_1,0.9994177480189421
1433_1,0.9997385899632839
1433_1,0.9997240010274655
1433_1,0.99898546777356
1433_1,0.9995582288393501
1433_1,0.9968161050010813
1433_1,0.9995908460743933
1433_1,0.9997286417871906
1433_1,0.9990326323645997
1433_1,0.9996261430348647
1433_1,0.9992829998472496
1433_1,0.999625032899816
1433_1,0.9998322727215937
1433_1,0.999372703857663
1433_1,0.9997666857924279
1433_1,0.9985294998675849
1433_1,0.9997994698068452
1433_1,0.9996161047013415
1433_1,0.9997245470135407
1433_1,0.9997940445720037
1433_1,0.9957967255968959
1433_1,0.9996617886002935
1433_1,0.9997773093263689
1433_1,0.9997561941626866
1433_1,0.9998523851665764
1433_1,0.9989316634796503
1433_1,0.9997383809865139
1433_1,0.9996619129769172
1433_1,0.9996092339876586
1433_1,0.9997223758384646
1433_1,0.9961431252719023
1433_1,0.9996310780935658
1433_1,0.9997972503745938
1433_1,0.999544271546657
1433_1,0.9997594239494333
1433_1,0.9973770901903873
1433_1,0.9997532001670094
1433_1,0.9997667345617476
1433_1,0.9998839200915162
1433_1,0.9997869715101533
1433_2,0.9991790685232468
1433_2,0.9876884430754228
1433_2,0.998895280922105
1433_2,0.9991765124504992
1433_2,0.9998233376922475
1433_2,0.9986499855691359
1433_2,0.9997802477858556
1433_2,0.9995652447016197
1433_2,0.9999264715703974
1433_2,0.9986329627435363
1433_2,0.9997855426168073
